name,elevation_ft,iso_country,iso_region,continent
Advanced Public Health of Isabela Heliport,289.0,PR,PR-U-A,
Churchill Airport,1965.0,US,US-KS,
Salaika Aviation Airport,30.0,US,US-TX,
Cuddihy Field,39.0,US,US-TX,
Corntassel Airport,970.0,US,US-TN,
Cross-Country Estates Airport,690.0,US,US-TX,
Pecks Heliport,660.0,US,US-TX,
E Northrop Grumman Airport,4480.0,US,US-UT,
Alpha Hotel Airport,350.0,US,US-VA,
Meadow STOLport,801.0,US,US-VT,
Multicare Deaconess Hospital Heliport,2110.0,US,US-WA,
Bartell Strip,990.0,US,US-WI,
Stallions Airport,4074.0,US,US-WY,
Luecke Heliport,451.0,US,US-TX,
Allen Ponderosa Heliport,840.0,US,US-TX,
Hill City-Quadna Mountain Airport,1289.0,US,US-MN,
Fisher Airport,200.0,US,US-AK,
Little Lagoon Seaplane Base,8.0,US,US-AL,
Crittenden Regional Hospital Heliport,206.0,US,US-AR,
Mesa Police Heliport,1240.0,US,US-AZ,
Merrymeeting Field,65.0,US,US-ME,
PG&E Placerville Service Center Heliport,1810.0,US,US-CA,
Kistler Ranch Airport,1025.0,US,US-CA,
Tulare Motor Sports #1 Heliport,270.0,US,US-CA,
Terra Firma Airport,5600.0,US,US-CO,
Seavair's Landing Seaplane Base,881.0,US,US-CT,
City of Coalgate Airport,615.0,US,US-OK,
Duda Airstrip,35.0,US,US-FL,
Sunniland Ranch Airport,65.0,US,US-FL,
J. H. Hendrie Farms Airport,103.0,US,US-FL,
Salt Fork Lodge Heliport,960.0,US,US-OH,
Sapelo Island Airport,12.0,US,US-GA,
Symms Airport,2680.0,US,US-ID,
Parkview Lagrange Hospital Heliport,943.0,US,US-IN,
Harms Airstrip,643.0,US,US-IL,
Winona Lake Seaplane Base,812.0,US,US-IN,
Hemmer RLA Restricted Landing Area,400.0,US,US-IL,
Alderson Airport,1250.0,US,US-KS,
Deaconess Union County Hospital Heliport,435.0,US,US-KY,
Boss Airport,820.0,US,US-KY,
Air Oil Inc Nr 2 Heliport,4.0,US,US-LA,
Sauer Airport,665.0,US,US-IL,
Aeleron Airport,51.0,US,US-LA,
Wormid Airport,360.0,US,US-MA,
UM Saint Joseph Medical Center Heliport,470.0,US,US-MD,
Lindbergh Airport,554.0,US,US-ME,
Sparrow Hospital Heliport,1019.0,US,US-MI,
Christenson Point Seaplane Base,1372.0,US,US-MN,
